X,Y,osm_id,osm_way_id,name,type,aeroway,amenity,admin_level,barrier,boundary,building,craft,geological,historic,land_area,landuse,leisure,man_made,military,natural,office,place,shop,sport,tourism,other_tags,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
173.2954581,-41.2708644,,"116605939",Fellworth House,,,,,,,yes,,,,,,,,,,,,,,,"""addr:housename""=>""Fellworth House"",""addr:housenumber""=>""193"",""addr:postcode""=>""Nelson 7010"",""addr:street""=>""Milton Street"",""old_name""=>""Fellworth House""","2","0","0","2",0.00011786984728,137.14260105906578
173.2955678,-41.2708674,,"116605939",Fellworth House,,,,,,,yes,,,,,,,,,,,,,,,"""addr:housename""=>""Fellworth House"",""addr:housenumber""=>""193"",""addr:postcode""=>""Nelson 7010"",""addr:street""=>""Milton Street"",""old_name""=>""Fellworth House""","3","0","0","3",0.00022761086057,137.15540188986347
173.2955649,-41.2709279,,"116605939",Fellworth House,,,,,,,yes,,,,,,,,,,,,,,,"""addr:housename""=>""Fellworth House"",""addr:housenumber""=>""193"",""addr:postcode""=>""Nelson 7010"",""addr:street""=>""Milton Street"",""old_name""=>""Fellworth House""","4","0","0","4",0.00028818032482,137.14001037308225
173.2956022,-41.2709289,,"116605939",Fellworth House,,,,,,,yes,,,,,,,,,,,,,,,"""addr:housename""=>""Fellworth House"",""addr:housenumber""=>""193"",""addr:postcode""=>""Nelson 7010"",""addr:street""=>""Milton Street"",""old_name""=>""Fellworth House""","5","0","0","5",0.00032549372724,137.12181474702237
173.2956001,-41.2709733,,"116605939",Fellworth House,,,,,,,yes,,,,,,,,,,,,,,,"""addr:housename""=>""Fellworth House"",""addr:housenumber""=>""193"",""addr:postcode""=>""Nelson 7010"",""addr:street""=>""Milton Street"",""old_name""=>""Fellworth House""","6","0","0","6",0.00036994336166,227.11227967215555
173.295551,-41.270972,,"116605939",Fellworth House,,,,,,,yes,,,,,,,,,,,,,,,"""addr:housename""=>""Fellworth House"",""addr:housenumber""=>""193"",""addr:postcode""=>""Nelson 7010"",""addr:street""=>""Milton Street"",""old_name""=>""Fellworth House""","7","0","0","7",0.00041906056844,227.16322499592815
173.2955494,-41.2710046,,"116605939",Fellworth House,,,,,,,yes,,,,,,,,,,,,,,,"""addr:housename""=>""Fellworth House"",""addr:housenumber""=>""193"",""addr:postcode""=>""Nelson 7010"",""addr:street""=>""Milton Street"",""old_name""=>""Fellworth House""","8","0","0","8",0.00045169980862,227.16507198742559
173.2954326,-41.2710015,,"116605939",Fellworth House,,,,,,,yes,,,,,,,,,,,,,,,"""addr:housename""=>""Fellworth House"",""addr:housenumber""=>""193"",""addr:postcode""=>""Nelson 7010"",""addr:street""=>""Milton Street"",""old_name""=>""Fellworth House""","9","0","0","9",0.00056854094008,317.12756358148403
173.2954372,-41.2709052,,"116605939",Fellworth House,,,,,,,yes,,,,,,,,,,,,,,,"""addr:housename""=>""Fellworth House"",""addr:housenumber""=>""193"",""addr:postcode""=>""Nelson 7010"",""addr:street""=>""Milton Street"",""old_name""=>""Fellworth House""","10","0","0","10",0.00066495074248,317.13902219208455
173.2953741,-41.2709035,,"116605939",Fellworth House,,,,,,,yes,,,,,,,,,,,,,,,"""addr:housename""=>""Fellworth House"",""addr:housenumber""=>""193"",""addr:postcode""=>""Nelson 7010"",""addr:street""=>""Milton Street"",""old_name""=>""Fellworth House""","11","0","0","11",0.00072807363849,317.14537405996623
173.2953778,-41.2708264,,"116605939",Fellworth House,,,,,,,yes,,,,,,,,,,,,,,,"""addr:housename""=>""Fellworth House"",""addr:housenumber""=>""193"",""addr:postcode""=>""Nelson 7010"",""addr:street""=>""Milton Street"",""old_name""=>""Fellworth House""","12","0","0","12",0.00080526236824,47.14216510739054
